0	8
1	8
2	8
3	8
4	9
5	9
6	9
7	9
8	10
9	10
10	10
11	10
12	11
13	11
14	11
15	11
16	12
17	12
18	12
19	12
20	13
21	13
22	13
23	13
24	14
25	14
26	14
27	14
28	15
29	15
30	15
31	15
32	16
33	16
34	16
35	16
36	17
37	17
38	17
39	17
40	18
41	18
42	18
43	18
44	19
45	19
46	19
47	19
48	20
49	20
50	20
51	20
52	21
53	21
54	21
55	21
56	22
57	22
58	22
59	22
60	23
61	23
62	23
63	23
64	24
65	24
66	24
67	24
68	25
69	25
70	25
71	25
72	26
73	26
74	26
75	26
76	27
77	27
78	27
79	27
80	28
81	28
82	28
83	28
84	29
85	29
86	29
87	29
88	30
89	30
90	30
91	30
92	31
93	31
94	31
95	31
96	32
97	32
98	32
99	32
100	33
101	33
102	33
103	33
104	34
105	34
106	34
107	34
108	35
109	35
110	35
111	35
112	36
113	36
114	36
115	36
116	37
117	37
118	37
119	37
120	38
121	38
122	38
123	38
124	39
125	39
126	39
127	39
128	40
129	40
130	40
131	40
132	41
133	41
134	41
135	41
136	42
137	42
138	42
139	42
140	43
141	43
142	43
143	43
144	44
145	44
146	44
147	44
148	45
149	45
150	45
151	45
152	46
153	46
154	46
155	46
156	47
157	47
158	47
159	47
160	48
161	48
162	48
163	48
164	49
165	49
166	49
167	49
168	50
169	50
170	50
171	50
172	51
173	51
174	51
175	51
176	52
177	52
178	52
179	52
180	53
181	53
182	53
183	53
184	54
185	54
186	54
187	54
188	55
189	55
190	55
191	55
192	56
193	56
194	56
195	56
196	57
197	57
198	57
199	57
200	58
201	58
202	58
203	58
204	59
205	59
206	59
207	59
208	60
209	60
210	60
211	60
212	61
213	61
214	61
215	61
216	62
217	62
218	62
219	62
220	63
221	63
222	63
223	63
224	8
225	8
226	8
227	8
228	9
229	9
230	9
231	9
232	10
233	10
234	10
235	10
236	11
237	11
238	11
239	11
240	12
241	12
242	12
243	12
244	13
245	13
246	13
247	13
248	14
249	14
250	14
251	14
252	15
253	15
254	15
255	15
256	16
257	16
258	16
259	16
260	17
261	17
262	17
263	17
264	18
265	18
266	18
267	18
268	19
269	19
270	19
271	19
272	20
273	20
274	20
275	20
276	21
277	21
278	21
279	21
280	22
281	22
282	22
283	22
284	23
285	23
286	23
287	23
288	24
289	24
290	24
291	24
292	25
293	25
294	25
295	25
296	26
297	26
298	26
299	26
300	27
301	27
302	27
303	27
304	28
305	28
306	28
307	28
308	29
309	29
310	29
311	29
312	30
313	30
314	30
315	30
316	31
317	31
318	31
319	31
320	32
321	32
322	32
323	32
324	33
325	33
326	33
327	33
328	34
329	34
330	34
331	34
332	35
333	35
334	35
335	35
336	36
337	36
338	36
339	36
340	37
341	37
342	37
